sku,current_title,recommended_title,correct_brand,correct_mpn,recommended_product_type,recommended_meta_description
3M 6100,3M 6100 Respirator,3M 6100 Half Facepiece Reusable Respirator – Small (NIOSH),3M,6100,Respirators > Half Mask > 3M 6000 Series,"Buy the 3M 6100 half facepiece reusable respirator (Small, NIOSH-approved). Protects against gases, vapors & particulates with 3M 6000-series cartridges. In stock."
3M 6200,3M 6200 Respirator,3M 6200 Half Facepiece Reusable Respirator – Medium (NIOSH),3M,6200,Respirators > Half Mask > 3M 6000 Series,"Buy the 3M 6200 half facepiece reusable respirator (Medium, NIOSH-approved). Pairs with 3M 6000-series cartridges & 2000/7000 filters. In stock, fast shipping."
3M 6300,3M 6300 Respirator,3M 6300 Half Facepiece Reusable Respirator – Large (NIOSH),3M,6300,Respirators > Half Mask > 3M 6000 Series,"Buy the 3M 6300 half facepiece reusable respirator (Large, NIOSH-approved). Protects against gases, vapors & particulates. Fits 3M 6000-series cartridges."
3M 7501,3M 7501 Respirator,3M 7501 Half Facepiece Reusable Respirator – Small (NIOSH),3M,7501,Respirators > Half Mask > 3M 7500 Series,"3M 7501 half mask respirator (Small, NIOSH). Soft silicone facepiece for easy, comfortable, durable respiratory protection. Fits 3M cartridges & filters."
3M 7502,3M 7502 Respirator,3M 7502 Half Facepiece Reusable Respirator – Medium (NIOSH),3M,7502,Respirators > Half Mask > 3M 7500 Series,"3M 7502 half mask respirator (Medium, NIOSH). Soft silicone facepiece for comfortable, durable respiratory protection. Fits 3M 6000-series cartridges."
3M 7503,3M 7503 Respirator,3M 7503 Half Facepiece Reusable Respirator – Large (NIOSH),3M,7503,Respirators > Half Mask > 3M 7500 Series,"3M 7503 half mask respirator (Large, NIOSH). Soft silicone facepiece for comfortable, durable respiratory protection. Fits 3M 6000-series cartridges."
North 770030S,North 770030S Respirator Small,Honeywell North 7700 Half Mask Respirator – Small,Honeywell,770030S,Respirators > Half Mask > Honeywell 7700 Series,"Honeywell North 770030S half mask respirator (Small). Low-profile design clears eyewear; low breathing resistance reduces fatigue. NIOSH-approved."
North 770030M,North 770030M Respirator Medium,Honeywell North 7700 Half Mask Respirator – Medium,Honeywell,770030M,Respirators > Half Mask > Honeywell 7700 Series,"Honeywell North 770030M half mask respirator (Medium). Low-profile design clears eyewear; low breathing resistance reduces fatigue. NIOSH-approved."
North 770030L,North 770030L Respirator Large,Honeywell North 7700 Half Mask Respirator – Large,Honeywell,770030L,Respirators > Half Mask > Honeywell 7700 Series,"Honeywell North 770030L half mask respirator (Large). Low-profile design clears eyewear; low breathing resistance reduces fatigue. NIOSH-approved."
North 550030S,North 550030S Respirator Large,Honeywell North 5500 Disposable Half Mask Respirator – Small,Honeywell,550030S,Respirators > Half Mask > Honeywell 5500 Series,"Honeywell North 550030S low-cost disposable half mask respirator (Small). Same comfortable 7700-series design with fully replaceable parts."
